listing_id,date
16999624,2017-07-23
16999624,2017-08-05
16999624,2017-08-20
16999624,2017-08-27
16999624,2017-09-11
16999624,2017-09-18
16999624,2017-09-26
16999624,2017-10-09
16999624,2017-10-16
16999624,2017-10-21
16999624,2017-11-25
16999624,2017-12-31
16999624,2018-02-22
16999624,2018-03-30
16999624,2018-04-15
17094423,2017-07-09
17094423,2017-09-11
17160049,2017-02-20
17160049,2017-02-25
17160049,2017-02-27
17160049,2017-03-05
17160049,2017-03-10
17160049,2017-03-12
17160049,2017-03-17
17160049,2017-03-19
17160049,2017-03-22
17160049,2017-03-26
17160049,2017-03-28
17160049,2017-04-01
17160049,2017-04-06
17160049,2017-04-11
17160049,2017-04-19
17160049,2017-04-22
17160049,2017-04-24
17160049,2017-04-26
17160049,2017-04-28
17160049,2017-05-03
17160049,2017-05-06
17160049,2017-05-07
17160049,2017-05-10
17160049,2017-05-12
17160049,2017-05-14
17160049,2017-05-19
17160049,2017-05-21
17160049,2017-05-26
17160049,2017-05-29
17160049,2017-06-01
17160049,2017-06-04
17160049,2017-06-09
17160049,2017-06-11
17160049,2017-06-18
17160049,2017-06-21
17160049,2017-07-01
17160049,2017-07-05
17160049,2017-07-07
17160049,2017-07-18
17160049,2017-07-20
17160049,2017-07-25
17160049,2017-07-29
17160049,2017-08-01
17160049,2017-08-03
17160049,2017-08-06
17160049,2017-08-09
17160049,2017-08-11
17160049,2017-08-20
17160049,2017-08-24
17160049,2017-08-27
17160049,2017-08-30
17160049,2017-09-04
17160049,2017-09-12
17160049,2017-09-30
17160049,2017-10-02
17160049,2017-10-09
17160049,2017-10-14
17160049,2017-10-16
17160049,2017-10-22
17160049,2017-10-27
17160049,2017-10-29
17160049,2017-11-02
17160049,2017-11-05
17160049,2017-11-24
17160049,2017-12-13
17160049,2017-12-17
17160049,2017-12-20
17160049,2017-12-26
17160049,2017-12-30
17160049,2018-01-04
17160049,2018-01-07
17160049,2018-01-18
17160049,2018-01-27
17160049,2018-02-03
17160049,2018-02-05
17160049,2018-02-11
17160049,2018-02-19
17160049,2018-02-21
17160049,2018-02-25
17160049,2018-03-08
17160049,2018-03-10
17160049,2018-03-12
17160049,2018-03-18
17160049,2018-03-20
17160049,2018-03-28
17160049,2018-04-02
17160049,2018-04-06
